CSE121,Discrete Mathematics,Donghoon Chang,DM,UG-CSE-2nd Year,128
CSE201,Advanced Programming,Vivek Kumar,AP,UG-CSE-2nd Yr,135
CSE112,Computer Organization,Naveen Prakash,CO ,UG-CSE-2nd Yr,116
MTH203,Maths III ,Sarthok Sircar,M-III,"UG-ECE-2nd Yr, UG-CSE-2nd Yr Elective",136
HSS204,Introduction to Psychology,Akshay Kumar(V),Psy,UG,42
HSS211,Theatre Appreciation,Manohar Khushalani(V),TA,UG,59
HSS2XX,Perspectives of Knowledge,Raj Ayyar(V),PoR,UG,34
ECE250,Signals and Systems,Anubha Gupta,SNS,UG,90
MTH2XX,Real Analysis 1,Samaresh Chatterji,RA,UG,70
MTH2XX,Number Theory,Anuradha Sharma,NT,UG,50
HSS2XX,Introduction to Digital Ethonography,Shriram Venkatraman,IDE,UG,120
HSS2ES,Key Concepts in Economic Sociology,Amrit Srinivasan,ES,UG,90
HSS2XX,Introduction to Media In Society: A Public Sphere Approach,Aasim Khan,IMS,UG,40
HSS208,Theory & Practice of Engineering Ethics,Raj Ayyar,TPEE,UG,20
HSS2XX,Introduction to Social Informatics,Venkata Ratandeep Suri,ISI,UG,46
HSS223A,Introduction to Poetry,Saumya Kulshreshtha,PO,UG,30
